Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
2.607	4.472	2.854	3.181	2.312	2.875	4.042	3.086	6.588	g	n
2.64	4.486	2.875	3.181	2.312	2.875	4.042	3.086	6.588	g	n
2.673	4.486	2.875	3.181	2.312	2.875	4.042	3.086	6.588	g	n
2.706	4.5	2.854	3.181	2.312	2.875	4.042	3.086	6.588	g	n
2.739	4.5	2.833	3.181	2.333	2.875	4.042	3.086	6.608	g	n
2.772	4.514	2.812	3.181	2.333	2.861	4.062	3.086	6.608	g	n
2.805	4.528	2.812	3.181	2.333	2.861	4.062	3.086	6.608	g	n
2.838	4.528	2.812	3.181	2.333	2.861	4.062	3.086	6.608	g	n
2.871	4.528	2.792	3.181	2.333	2.861	4.062	3.086	6.608	g	n
2.904	4.514	2.771	3.181	2.333	2.861	4.062	3.072	6.608	g	n
2.937	4.514	2.75	3.181	2.312	2.847	4.062	3.072	6.608	g	n
2.97	4.5	2.729	3.181	2.312	2.847	4.062	3.072	6.608	g	n
3.003	4.5	2.729	3.181	2.312	2.847	4.062	3.072	6.608	g	n
3.036	4.5	2.729	3.181	2.312	2.847	4.062	3.072	6.608	g	n
3.069	4.5	2.729	3.181	2.312	2.847	4.062	3.072	6.608	g	n
3.102	4.5	2.729	3.181	2.312	2.847	4.062	3.072	6.608	g	n
3.135	4.5	2.729	3.181	2.312	2.847	4.062	3.072	6.608	g	n
3.168	4.486	2.708	3.181	2.312	2.847	4.062	3.072	6.608	g	n
3.201	4.486	2.708	3.181	2.312	2.847	4.062	3.072	6.608	g	n
3.234	4.486	2.708	3.181	2.312	2.847	4.062	3.072	6.608	g	n
3.267	4.486	2.708	3.181	2.312	2.833	4.062	3.072	6.608	g	n
3.3	4.486	2.708	3.181	2.312	2.833	4.062	3.072	6.608	g	n
3.333	4.486	2.708	3.167	2.312	2.833	4.062	3.072	6.608	g	n
3.337	4.5	2.688	3.167	2.312	2.833	4.062	3.072	6.608	g	n
