colorData=True																						
sizeData=t																						
luminanceData=false																						
	Mallet Head				Hand				Elbow				Elbow				Shoulder				Pitch	Vis
t	x	y			x	y			x	y			x	y			x	y				
1.02	4.78	4.73	-	-	3.65	3.44	size.25	"(0,0,255)"	3.32	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.06	4.74	4.85	-	-	3.65	3.46	size.25	"(0,0,255)"	3.32	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.09	4.71	4.94	-	-	3.63	3.5	size.25	"(0,0,255)"	3.31	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.12	4.69	4.94	-	-	3.63	3.46	size.25	"(0,0,255)"	3.31	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.16	4.68	4.88	-	-	3.63	3.4	size.25	"(0,0,255)"	3.31	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.19	4.69	4.69	-	-	3.61	3.31	size.25	"(0,0,255)"	3.29	4.69	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.22	4.74	4.44	-	-	3.6	3.17	size.25	"(0,0,255)"	3.29	4.69	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.25	4.76	4.08	-	-	3.58	2.98	size.25	"(0,0,255)"	3.28	4.69	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.29	4.81	3.52	-	-	3.56	2.71	size.25	"(0,0,255)"	3.28	4.69	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.32	4.88	2.79	-	-	3.54	2.44	size.25	"(0,0,255)"	3.26	4.67	"(0, 255, 0)"	size 3.5	-	-	-	-	3.63	6.71	"(255,0,0)"	size1.5	d	l
1.35	4.86	1.81	-	-	3.47	2.27	size.25	"(0,0,255)"	3.26	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.63	6.71	"(255,0,0)"	size1.5	d	l
1.39	4.86	1.46	-	-	3.43	2.23	size.25	"(0,0,255)"	3.26	4.63	"(0, 255, 0)"	size 3.5	-	-	-	-	3.64	6.69	"(255,0,0)"	size1.5	d	l
1.42	4.88	1.77	-	-	3.46	2.29	size.25	"(0,0,255)"	3.28	4.6	"(0, 255, 0)"	size 3.5	-	-	-	-	3.64	6.69	"(255,0,0)"	size1.5	d	l
1.45	4.86	2.08	-	-	3.47	2.38	size.25	"(0,0,255)"	3.29	4.6	"(0, 255, 0)"	size 3.5	-	-	-	-	3.64	6.69	"(255,0,0)"	size1.5	d	l
1.49	4.83	2.35	-	-	3.49	2.46	size.25	"(0,0,255)"	3.32	4.6	"(0, 255, 0)"	size 3.5	-	-	-	-	3.64	6.67	"(255,0,0)"	size1.5	d	l
1.52	4.79	2.65	-	-	3.51	2.56	size.25	"(0,0,255)"	3.33	4.6	"(0, 255, 0)"	size 3.5	3.33	4.6	"(0,0,255)"	size1	3.64	6.67	"(255,0,0)"	size1.5	d	l
1.55	4.76	2.94	-	-	3.54	2.67	size.25	"(0,0,255)"	3.36	4.6	"(0, 255, 0)"	size 3.5	3.36	4.6	"(0,0,255)"	size1	3.64	6.65	"(255,0,0)"	size1.5	d	l
1.58	4.69	3.27	-	-	3.57	2.77	size.25	"(0,0,255)"	3.38	4.6	"(0, 255, 0)"	size 3.5	3.38	4.6	"(0,0,255)"	size1	3.64	6.65	"(255,0,0)"	size1.5	d	l
