Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
2.574	3.236	4.917	3.389	3.354	4.083	4.562	4.336	6.588	a	l
2.607	3.208	4.792	3.389	3.292	4.083	4.562	4.336	6.588	a	l
2.64	3.167	4.688	3.375	3.25	4.097	4.542	4.336	6.588	a	l
2.673	3.139	4.583	3.375	3.229	4.097	4.542	4.336	6.588	a	l
2.706	3.125	4.542	3.375	3.188	4.097	4.542	4.336	6.588	a	l
2.739	3.083	4.438	3.361	3.167	4.097	4.521	4.336	6.588	a	l
2.772	3.069	4.292	3.361	3.125	4.097	4.521	4.336	6.588	a	l
2.805	3.056	4.188	3.361	3.083	4.097	4.521	4.336	6.588	a	l
2.838	3.056	4.062	3.361	3.042	4.111	4.521	4.336	6.588	a	l
2.871	3.056	4.042	3.361	3	4.111	4.521	4.336	6.588	a	l
2.904	3.069	3.958	3.361	2.938	4.111	4.521	4.35	6.588	a	l
2.937	3.083	3.896	3.361	2.896	4.111	4.521	4.35	6.588	a	l
2.97	3.097	3.854	3.375	2.854	4.111	4.521	4.35	6.588	a	l
3.003	3.111	3.771	3.389	2.833	4.111	4.521	4.35	6.588	a	l
3.036	3.125	3.708	3.403	2.812	4.111	4.521	4.35	6.588	a	l
3.069	3.125	3.708	3.403	2.812	4.111	4.521	4.35	6.588	a	l
3.102	3.139	3.667	3.417	2.792	4.111	4.521	4.35	6.588	a	l
3.135	3.153	3.625	3.431	2.771	4.111	4.542	4.35	6.588	a	l
3.168	3.181	3.583	3.431	2.771	4.125	4.542	4.35	6.588	a	l
3.201	3.208	3.521	3.444	2.75	4.125	4.542	4.35	6.588	a	l
3.234	3.222	3.479	3.458	2.729	4.125	4.542	4.35	6.588	a	l
3.267	3.236	3.438	3.472	2.708	4.125	4.542	4.35	6.588	a	l
3.3	3.25	3.396	3.472	2.708	4.125	4.542	4.35	6.588	a	l
3.333	3.264	3.375	3.486	2.688	4.125	4.542	4.35	6.588	a	l
3.366	3.278	3.354	3.486	2.688	4.111	4.562	4.35	6.608	a	l
3.399	3.278	3.333	3.486	2.688	4.111	4.562	4.35	6.608	a	l
3.432	3.264	3.312	3.472	2.688	4.111	4.562	4.35	6.608	a	l
3.465	3.264	3.292	3.458	2.688	4.111	4.562	4.35	6.608	a	l
3.498	3.25	3.312	3.458	2.688	4.111	4.562	4.35	6.608	a	l
3.531	3.25	3.312	3.458	2.667	4.111	4.583	4.35	6.608	a	l
3.564	3.25	3.312	3.458	2.667	4.111	4.583	4.35	6.608	a	l
3.597	3.25	3.312	3.444	2.688	4.111	4.583	4.35	6.608	a	l
3.63	3.25	3.292	3.444	2.688	4.111	4.583	4.35	6.608	a	l
3.663	3.25	3.312	3.444	2.688	4.111	4.583	4.35	6.608	a	l
3.696	3.264	3.333	3.458	2.708	4.111	4.583	4.35	6.608	a	l
