Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
2.607	5.625	3.188	4.014	2.792	3.403	4.667	3.6	7.025	e	n
2.64	5.639	3.167	4.014	2.771	3.403	4.667	3.6	7.025	e	n
2.673	5.639	3.125	4.014	2.771	3.389	4.688	3.6	7.025	e	n
2.706	5.639	3.083	4.014	2.771	3.389	4.688	3.6	7.025	e	n
2.739	5.639	3	4	2.729	3.389	4.688	3.6	7.025	e	n
2.772	5.639	2.917	4	2.729	3.389	4.708	3.6	7.025	e	n
2.805	5.625	2.854	4	2.708	3.389	4.708	3.6	7.025	e	n
2.838	5.625	2.854	3.986	2.708	3.389	4.708	3.614	7.046	e	n
2.871	5.597	2.833	3.986	2.708	3.389	4.708	3.614	7.046	e	n
2.904	5.597	2.833	3.986	2.688	3.389	4.708	3.614	7.046	e	n
2.937	5.583	2.792	3.972	2.688	3.389	4.729	3.614	7.046	e	n
2.97	5.583	2.792	3.972	2.688	3.389	4.729	3.614	7.046	e	n
3.003	5.569	2.792	3.972	2.688	3.389	4.729	3.614	7.046	e	n
3.036	5.569	2.812	3.944	2.688	3.389	4.729	3.614	7.046	e	n
3.069	5.569	2.812	3.944	2.688	3.389	4.729	3.614	7.046	e	n
3.102	5.569	2.812	3.944	2.688	3.389	4.729	3.614	7.046	e	n
3.135	5.569	2.812	3.944	2.688	3.389	4.729	3.6	7.046	e	n
3.168	5.569	2.812	3.944	2.688	3.389	4.729	3.6	7.046	e	n
3.201	5.583	2.792	3.944	2.688	3.389	4.729	3.6	7.046	e	n
3.234	5.583	2.792	3.944	2.688	3.389	4.729	3.6	7.046	e	n
3.267	5.583	2.771	3.944	2.688	3.389	4.729	3.6	7.046	e	n
3.3	5.583	2.771	3.944	2.688	3.389	4.729	3.6	7.046	e	n
3.333	5.583	2.771	3.944	2.688	3.389	4.729	3.6	7.046	e	n
3.366	5.583	2.792	3.944	2.688	3.375	4.729	3.6	7.046	e	n
3.399	5.597	2.771	3.944	2.688	3.375	4.729	3.6	7.046	e	n
3.432	5.597	2.771	3.944	2.688	3.375	4.729	3.6	7.046	e	n
3.465	5.597	2.771	3.944	2.688	3.375	4.729	3.6	7.046	e	n
3.498	5.583	2.771	3.944	2.688	3.375	4.729	3.6	7.046	e	n
3.531	5.583	2.771	3.944	2.667	3.375	4.729	3.6	7.046	e	n
3.564	5.569	2.75	3.944	2.667	3.375	4.729	3.6	7.046	e	n
3.597	5.569	2.75	3.944	2.667	3.375	4.729	3.6	7.046	e	n
3.63	5.569	2.75	3.944	2.667	3.361	4.729	3.6	7.046	e	n
3.663	5.569	2.729	3.944	2.667	3.361	4.729	3.586	7.046	e	n
3.696	5.569	2.729	3.944	2.667	3.361	4.729	3.586	7.046	e	n
3.729	5.569	2.729	3.931	2.667	3.361	4.729	3.586	7.046	e	n
3.762	5.569	2.729	3.931	2.667	3.361	4.729	3.586	7.046	e	n
3.795	5.569	2.729	3.931	2.667	3.361	4.729	3.586	7.046	e	n
3.828	5.569	2.729	3.931	2.667	3.361	4.729	3.586	7.046	e	n
3.861	5.569	2.729	3.931	2.667	3.361	4.729	3.586	7.046	e	n
3.894	5.569	2.708	3.931	2.667	3.361	4.729	3.586	7.046	e	n
3.927	5.569	2.708	3.931	2.667	3.361	4.729	3.586	7.046	e	n
3.96	5.569	2.708	3.931	2.667	3.361	4.729	3.586	7.046	e	n
3.993	5.569	2.708	3.931	2.667	3.361	4.729	3.586	7.046	e	n
4.026	5.569	2.708	3.931	2.667	3.361	4.729	3.586	7.046	e	n
4.059	5.569	2.708	3.931	2.667	3.361	4.729	3.586	7.046	e	n
4.092	5.583	2.688	3.931	2.667	3.361	4.729	3.586	7.046	e	n
4.125	5.583	2.688	3.931	2.667	3.361	4.729	3.586	7.046	e	n
4.158	5.583	2.688	3.931	2.667	3.361	4.729	3.586	7.046	e	n
4.191	5.583	2.688	3.931	2.646	3.361	4.729	3.586	7.046	e	n
4.224	5.583	2.688	3.931	2.646	3.361	4.729	3.586	7.046	e	n
4.257	5.583	2.688	3.931	2.646	3.361	4.729	3.586	7.046	e	n
4.29	5.611	2.667	3.931	2.646	3.361	4.729	3.586	7.046	e	n
4.323	5.611	2.667	3.931	2.646	3.361	4.729	3.586	7.046	e	n
4.356	5.611	2.667	3.931	2.625	3.361	4.729	3.586	7.046	e	n
4.389	5.611	2.667	3.931	2.625	3.361	4.729	3.586	7.046	e	n
4.422	5.611	2.667	3.931	2.625	3.361	4.729	3.586	7.046	e	n
4.455	5.611	2.646	3.931	2.625	3.361	4.729	3.586	7.046	e	n
4.488	5.611	2.646	3.931	2.625	3.361	4.729	3.586	7.046	e	n
