Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
2.574	1.528	3.292	1.931	2.604	2.222	4.146	2.475	6.317	g	l
2.607	1.611	3.188	1.958	2.583	2.236	4.125	2.475	6.296	g	l
2.64	1.694	3.125	1.986	2.562	2.236	4.125	2.475	6.296	g	l
2.673	1.764	3.062	2.014	2.542	2.236	4.125	2.475	6.296	g	l
2.706	1.847	2.979	2.069	2.521	2.236	4.125	2.475	6.296	g	l
2.739	1.931	2.979	2.097	2.521	2.236	4.125	2.475	6.296	g	l
2.772	2.014	2.958	2.153	2.521	2.25	4.104	2.475	6.296	g	l
2.805	2.056	2.938	2.194	2.458	2.25	4.104	2.475	6.296	g	l
2.838	2.097	2.917	2.222	2.438	2.25	4.104	2.475	6.296	g	l
2.871	2.139	2.896	2.25	2.417	2.25	4.104	2.475	6.296	g	l
2.904	2.167	2.875	2.264	2.396	2.25	4.104	2.475	6.296	g	l
2.937	2.194	2.896	2.278	2.396	2.264	4.104	2.475	6.296	g	l
2.97	2.236	2.896	2.292	2.396	2.264	4.104	2.475	6.296	g	l
3.003	2.264	2.896	2.292	2.396	2.264	4.104	2.475	6.296	g	l
3.036	2.278	2.896	2.306	2.396	2.264	4.104	2.475	6.296	g	l
3.069	2.278	2.896	2.306	2.396	2.264	4.104	2.475	6.296	g	l
3.102	2.292	2.896	2.306	2.396	2.264	4.104	2.475	6.296	g	l
3.135	2.292	2.896	2.306	2.396	2.264	4.104	2.475	6.296	g	l
3.168	2.306	2.896	2.306	2.396	2.264	4.104	2.475	6.296	g	l
3.201	2.306	2.896	2.319	2.396	2.264	4.104	2.475	6.296	g	l
3.234	2.319	2.896	2.319	2.396	2.264	4.104	2.475	6.317	g	l
3.267	2.333	2.875	2.319	2.396	2.25	4.104	2.489	6.338	g	l
3.3	2.361	2.833	2.347	2.396	2.236	4.104	2.489	6.338	g	l
3.333	2.389	2.771	2.361	2.375	2.222	4.125	2.489	6.338	g	l
3.366	2.431	2.646	2.361	2.375	2.222	4.125	2.489	6.338	g	l
3.399	2.5	2.5	2.389	2.375	2.208	4.146	2.475	6.358	g	l
3.432	2.625	2.375	2.417	2.354	2.194	4.146	2.475	6.358	g	l
3.465	2.792	2.271	2.431	2.354	2.181	4.146	2.475	6.358	g	l
3.498	2.958	2.229	2.472	2.354	2.167	4.188	2.475	6.358	g	l
3.531	3.139	2.188	2.5	2.333	2.167	4.188	2.475	6.358	g	l
3.564	3.292	2.167	2.528	2.312	2.153	4.208	2.475	6.358	g	l
3.597	3.444	2.146	2.597	2.208	2.153	4.208	2.461	6.358	g	l
3.63	3.556	2.083	2.639	2.208	2.153	4.208	2.461	6.358	g	l
3.663	3.639	2.021	2.667	2.188	2.167	4.229	2.461	6.358	g	l
3.696	3.722	1.958	2.708	2.188	2.167	4.25	2.461	6.358	g	l
3.729	3.806	1.896	2.736	2.167	2.167	4.25	2.461	6.358	g	l
3.762	3.875	1.875	2.75	2.167	2.181	4.271	2.461	6.358	g	l
3.795	3.931	1.833	2.778	2.146	2.181	4.271	2.461	6.358	g	l
3.828	3.972	1.812	2.792	2.125	2.194	4.271	2.461	6.358	g	l
3.861	4.014	1.771	2.806	2.125	2.222	4.271	2.461	6.358	g	l
3.87	4.014	1.771	2.806	2.125	2.222	4.271	2.461	6.358	g	l
